"VALUE","MEANING"
6380,"wild cinnamon"
6383,"burro blanco"
6384,"caper"
6386,"Jamaican caper"
6387,"falseteeth"
6389,"broadleaf caper"
6390,"linguam"
6393,"crabwood"
6395,"papaya"
6402,"rabo de ranton"
6403,"gia verde"
6406,"wild honeytree"
6407,"Guyanese wild coffee"
6410,"crackopen"
6415,"golden shower"
6417,"pink shower"
6418,"apple blossom"
6425,"marbletree"
6427,"goatwood"
6429,"goatbush"
6430,"Panama rubbertree"
6433,"river sheoak"
6434,"beach sheoak"
6439,"Haitian catalpa"
6443,"pumpwood"
6445,"Spanish cedar"
6447,"pochote"
6448,"pochote"
6449,"kapoktree"
6454,"almex"
6457,"St. John's bread"
6468,"lady of the night cactus"
6469,"Cereus hildmannianus"
6474,"day jessamine"
6475,"galen del monte"
6477,"night jessamine"
6481,"jointed sandmat"
6519,"hueso"
6520,"bridgotree"
6521,"white rosewood"
6522,"hueso prieto"
6523,"cabra blanca"
6526,"puntaj jayuya"
6528,"fatpork"
6529,"african teak"
6532,"silk-floss tree"
6535,"icaco coco plum"
6539,"bastard redwood"
6541,"star apple"
6542,"satinleaf"
6543,"camito de perro"
6554,"cassia"
6559,"laurel avispillo"
6560,"avispillo"
6564,"cinnamon"
6565,"juniper berry"
6567,"spiny fiddlewood"
6569,"threespike fiddlewood"
6573,"grapefruit"
6574,"Citrus ?aurantium"
6575,"shaddock"
6576,"citron"
6577,"tangerine"
6581,"Citrus maxima"
6582,"Citrus medica"
6584,"Citrus reticulata"
6631,"haggarbush"
6637,"teta prieta"
6639,"jackass breadnut"
6641,"Clidemia cymosa"
6642,"soapbush"
6644,"Philippine pigeonwings"
6646,"cupeillo"
6648,"Grundlach's attorney"
6650,"cupey de monte"
6651,"Scotch attorney"
6653,"deepwoods fern"
6655,"treadsoftly"
6658,"uvilla"
6660,"whitewood"
6661,"puckhout"
6662,"pale seagrape"
6663,"grandleaf seagrape"
6664,"uvera"
6665,"ortegon"
6666,"uvero de monte"
6668,"Swartz's pigeonplum"
6669,"Bahama pigeonplum"
6670,"seagrape"
6671,"false chiggergrape"
6673,"Coccothrinax barbadensis"
6679,"silk cottontree"
6683,"garden croton"
6684,"Arabian coffee"
6686,"Coffea liberica"
6688,"Cojoba arborea"
6689,"abata cola"
6693,"greenheart"
6700,"Urban's nakedwood"
6705,"poison ash"
6706,"carrasco"
6710,"Luquillo Mountain snailwood"
6711,"Consolea moniliformis"
6712,"Consolea rubescens"
6714,"copaiba"
6728,"Spanish elm"
6730,"muneco"
6731,"red manjack"
6735,"smooth manjack"
6737,"clammy cherry"
6738,"San Bartolome"
6739,"Puerto Rico manjack"
6743,"mucilage manjack"
6746,"nigua"
6747,"azulejo"
6750,"Corymbia citriodora"
6756,"cannonball tree"
6761,"common calabash tree"
6762,"higuerito"
6763,"higuero de sierra"
6765,"Critonia portoricensis"
6767,"maidenberry"
6773,"wild marrow"
6774,"Croton flavens"
6775,"sabinon"
6786,"Japanese cedar"
6788,"Chinese fir"
6790,"wild ackee"
6792,"guara blanca"
6795,"cedar-of-Goa"
6796,"Italian cypress"
6834,"parrotfeather treefern"
6835,"West Indian treefern"
6839,"Jamaican treefern"
6843,"small treefern"
6848,"helecho gigante"
6850,"Cybianthus sintenisii"
6852,"queen sago"
6857,"oreganillo falso"
6862,"swamp titi"
6867,"candletree"
6869,"Indian rosewood"
6871,"burn nose"
6872,"Heller's cieneguillo"
6873,"emajagua de sierra"
6883,"royal poinciana"
6888,"angelica tree"
6889,"palo de vaca"
6896,"chulta"
6899,"Dimocarpus longan"
6909,"black apple"
6912,"Chinese persimmon"
6923,"jaboncillo"
6927,"Florida hopbush"
6930,"Ceylon gooseberry"
6932,"fragrant dracaena"
6937,"cafeillo"
6938,"varital"
6939,"rosewood"
6940,"guiana plum"
6961,"golden dewdrops"
6966,"Dypsis lutescens"
6996,"monkeysoap"
6998,"loquat"
7000,"blacktorch"
7004,"machete"
7005,"coral erythrina"
7006,"crybabytree"
7007,"cock's spur"
7008,"bucayo"
7011,"mountain immortelle"
7015,"tiger's claw"
7016,"tiger's claw"
7019,"swamp-redwood"
7021,"ratwood"
7022,"rufous false cocaine"
7024,"Urban's false cocaine"
7034,"Indonesian gum"
7043,"spotted gum"
7046,"gray ironbark"
7049,"redmahogany"
7053,"Sydney bluegum"
7060,"white stopper"
7061,"blackrodwood"
7062,"Sierra de Cayey stopper"
7063,"guayabota de sierra"
7066,"redberry stopper"
7067,"lathberry"
7068,"lathberry"
7069,"sperry guava"
7071,"serrette guave"
7072,"guasabara"
7075,"smooth rodwood"
7076,"Luquillo Mountain stopper"
7081,"privet stopper"
7084,"birdcherry"
7089,"rockmyrtle"
7090,"Christmas cherry"
7093,"serrasuela"
7094,"sessileleaf stopper"
7098,"Stahl's stopper"
7100,"Stewardson's stopper"
7103,"Underwood's stopper"
7104,"Surinam cherry"
7105,"aridland stopper"
7109,"Mexican shrubby spurge"
7111,"mottled spurge"
7112,"Indian spurgetree"
7113,"manchineel berry"
7116,"Indiantree spurge"
7135,"Caribbean princewood"
7136,"plateado"
7137,"Exostema sanctae-luciae"
7146,"false coffee"
7148,"Jamaican cherry fig"
7149,"Indian banyan"
7150,"weeping fig"
7151,"edible fig"
7154,"brown-woolly fig"
7155,"Indian rubberplant"
7158,"Ficus lutea"
7159,"fiddleleaf fig"
7160,"Chinese banyan"
7162,"tibig"
7164,"amate"
7166,"peepul tree"
7173,"jaguey"
7174,"sycamore fig"
7177,"jaguey blanco"
7184,"governor's plum"
7185,"batoko plum"
7190,"Flueggea acidoton"
7194,"inkbush"
7195,"caca ravet"
7196,"Florida swampprivet"
7198,"oval kumquat"
7202,"West Indian buckthorn"
7206,"shamel ash"
7210,"silkrubber"
7211,"avocado"
7212,"Gourka"
7213,"lemon saptree"
7214,"mangosteen"
7218,"palo de cruz"
7223,"Garcinia xanthochymus"
7231,"llume"
7235,"jagua"
7237,"arbol de Navidad"
7239,"bastard gregre"
7245,"quickstick"
7256,"mata buey"
7258,"grand merisier"
7262,"Creole cotton"
7264,"Gossypium hirsutum"
7268,"Graffenrieda ottoschulzii"
7273,"silkoak"
7279,"lignum-vitae"
